Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,2,0,4,7,2,5,1,25,1,2,0,0,0
2010,2013,2,0,4,7,2,5,1,25,1,2,0,0,0
2010,2013,2,0,4,7,2,5,1,25,1,2,0,0,0
2010,2013,2,0,2,9,2,5,5,19,1,2,0,0,0
2010,2013,3,0,4,10,2,6,1,7,1,2,0,0,0
2010,2013,3,0,4,10,2,6,1,7,1,2,0,0,0
2010,2013,5,0,4,9,2,5,1,25,1,2,0,0,0
2010,2013,1,494,4,10,2,6,1,13,2,1,13,4,16
2010,2013,2,0,4,10,2,7,5,1,1,2,0,0,0
2010,2013,2,0,4,9,2,6,1,25,1,2,0,0,0
2010,2013,4,46,4,10,2,5,5,18,2,3,0,0,0
2010,2013,2,541,4,7,2,5,1,25,2,1,8,1,25
2010,2013,3,324,2,7,2,3,5,1,2,1,6,4,16
2010,2013,1,343,4,7,2,5,3,23,2,3,0,0,0
2010,2013,1,58,4,10,2,6,3,26,2,1,3,4,3
2010,2013,2,0,4,9,2,6,4,16,1,2,0,0,0
2010,2013,2,0,2,9,2,6,1,7,1,2,0,0,0
2010,2013,1,16,4,10,2,6,5,1,2,3,0,0,0
2010,2013,1,273,4,10,1,5,1,25,2,3,0,0,0
2010,2013,2,0,2,10,2,3,4,8,1,2,0,0,0
2010,2013,4,353,2,10,2,3,4,3,2,1,3,4,16
2010,2013,2,555,2,7,2,5,5,19,2,1,6,1,25
2010,2013,1,0,4,7,2,6,4,27,1,2,0,0,0
2010,2013,2,921,2,7,2,6,3,26,2,1,3,5,1
2010,2013,3,516,4,10,2,6,3,23,2,3,0,0,0
2010,2013,2,0,4,7,2,6,5,1,1,2,0,0,0
2010,2013,1,235,4,7,2,5,1,25,2,1,4,1,25
2010,2013,2,169,4,10,2,6,1,7,2,3,0,0,0
2010,2013,1,182,4,10,2,6,1,13,2,3,0,0,0
2010,2013,2,90,12,7,2,3,5,1,2,3,0,0,0
2010,2013,2,0,4,10,2,5,5,19,1,2,0,0,0
2010,2013,2,0,4,10,2,5,3,5,1,2,0,0,0
2010,2013,2,442,4,7,1,5,3,23,2,1,3,3,23
2010,2013,4,194,4,10,2,7,1,25,2,1,8,1,25
2010,2013,4,0,2,7,2,6,1,13,1,2,0,0,0
2010,2013,3,174,4,7,2,5,3,6,2,3,0,0,0
2010,2013,2,0,4,7,2,6,3,9,1,2,0,0,0
2010,2013,4,880,4,7,2,7,3,9,2,3,0,0,0
2010,2013,4,0,4,7,2,6,3,6,1,2,0,0,0
2010,2013,5,134,4,10,2,6,4,16,2,3,0,0,0
2010,2013,3,0,4,10,2,7,1,25,1,2,0,0,0
2010,2013,3,0,4,10,2,7,1,25,1,2,0,0,0
2010,2013,1,0,4,10,2,3,3,23,1,2,0,0,0
2010,2013,3,283,2,10,1,3,3,9,2,1,6,3,23
2010,2013,2,95,4,10,2,5,1,25,2,1,13,4,8
2010,2013,1,547,2,10,2,5,5,1,2,3,0,0,0
2010,2013,4,1037,4,7,2,6,4,20,2,1,3,4,24
2010,2013,4,0,4,7,1,5,3,23,1,2,0,0,0
2010,2013,4,0,4,10,2,6,4,27,1,2,0,0,0
2010,2013,4,0,2,10,2,7,3,6,1,2,0,0,0
2010,2013,2,500,2,10,2,5,3,23,2,1,5,5,18
2010,2013,3,0,12,10,2,3,5,19,1,2,0,0,0
2010,2013,5,0,4,7,2,6,1,7,1,2,0,0,0
2010,2013,1,0,2,9,2,5,3,6,1,2,0,0,0
2010,2013,1,0,2,9,2,5,3,6,1,2,0,0,0
2010,2013,2,341,4,2,2,5,1,25,2,3,0,0,0
2010,2013,3,511,4,10,2,7,3,9,2,3,0,0,0
2010,2013,3,1035,2,10,2,3,5,1,2,1,3,3,23
2010,2013,3,0,4,10,2,6,1,13,1,2,0,0,0
2010,2013,4,0,2,10,2,3,4,20,1,2,0,0,0
2010,2013,4,0,2,10,2,3,4,20,1,2,0,0,0
2010,2013,5,0,2,10,2,11,5,11,1,2,0,0,0
2010,2013,5,0,2,10,2,11,5,11,1,2,0,0,0
2010,2013,2,293,4,10,2,6,3,6,2,3,0,0,0
2010,2013,2,305,4,10,2,7,1,25,2,1,6,4,16
2010,2013,4,0,4,10,2,3,4,24,1,2,0,0,0
2010,2013,3,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,2,0,4,10,2,6,1,13,1,2,0,0,0
2010,2013,3,377,2,10,2,6,1,7,2,1,6,3,23
2010,2013,2,473,2,7,2,3,3,23,2,1,3,3,26
2010,2013,1,776,2,10,2,3,4,27,2,1,3,3,26
2010,2013,2,0,2,7,1,6,3,23,1,2,0,0,0
2010,2013,2,0,2,7,1,6,3,23,1,2,0,0,0
2010,2013,2,0,2,7,1,6,3,23,1,2,0,0,0
2010,2013,3,0,4,2,1,6,3,6,1,2,0,0,0
2010,2013,4,0,4,10,2,3,4,24,1,2,0,0,0
2010,2013,5,411,2,10,2,6,3,23,2,1,3,4,24
2010,2013,4,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,4,301,4,10,2,5,5,1,2,3,0,0,0
2010,2013,4,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,4,0,2,7,2,6,5,1,1,2,0,0,0
2010,2013,3,1094,2,10,2,7,1,25,2,1,3,4,24
