Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype,Return_To_Prison,Recidivism_Type
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,323.0,4.0,11.0,2.0,1.0,0.0,5.0,5.0,10.0,4.0,1.0,0.0
2010.0,2013.0,5.0,593.0,4.0,11.0,1.0,4.0,2.0,21.0,2.0,6.0,21.0,1.0,0.0
2010.0,2013.0,2.0,737.0,4.0,11.0,2.0,4.0,4.0,14.0,2.0,6.0,21.0,1.0,0.0
2010.0,2013.0,2.0,846.0,2.0,7.0,2.0,2.0,4.0,14.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,4.0,0.0,4.0,11.0,1.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,216.0,4.0,11.0,2.0,4.0,2.0,21.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,874.0,2.0,11.0,2.0,4.0,2.0,4.0,5.0,7.0,25.0,1.0,0.0
2010.0,2013.0,4.0,0.0,4.0,11.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,7.0,1.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,146.0,2.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,449.0,4.0,10.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,2.0,10.0,2.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,127.0,4.0,11.0,2.0,3.0,2.0,21.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,403.0,4.0,7.0,2.0,3.0,0.0,23.0,5.0,2.0,6.0,1.0,0.0
2010.0,2013.0,3.0,1085.0,4.0,11.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,949.0,2.0,11.0,2.0,1.0,2.0,21.0,5.0,6.0,21.0,1.0,0.0
2010.0,2013.0,3.0,0.0,2.0,10.0,1.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,0.0,2.0,7.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,2.0,11.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,2.0,11.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,2.0,11.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,734.0,4.0,7.0,2.0,5.0,2.0,21.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,10.0,2.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
